algorithm,input_size_bytes,trial_number,encryption_time_seconds,decryption_time_seconds,ciphertext_size_bytes,input_size_MB,encryption_throughput_MBps,decryption_throughput_MBps,encryption_time_per_byte,decryption_time_per_byte,encryption_ns_per_byte,decryption_ns_per_byte,ciphertext_expansion_ratio
DES,16384,10,0.21811074600555,0.215887248981744,16392,0.015625,0.07163791920459714,0.07237574277173402,1.3312423462252808e-05,1.3176711973983398e-05,13312.423462252807,13176.711973983398,1.00048828125
3DES,16384,1,0.650725382991368,0.6459683610009961,16392,0.015625,0.024011665148472118,0.02418849117592604,3.9717125426719235e-05,3.94267798462522e-05,39717.125426719234,39426.779846252204,1.00048828125
3DES,16384,2,0.6489899259759113,0.6493147230066825,16392,0.015625,0.024075874485268906,0.024063831369243716,3.961120153661568e-05,3.9631025574138334e-05,39611.201536615685,39631.02557413834,1.00048828125
3DES,16384,3,0.6480259700038005,0.6457628599891905,16392,0.015625,0.024111687992856776,0.024196188675610037,3.9552366333239775e-05,3.9414237059887114e-05,39552.36633323978,39414.23705988711,1.00048828125
3DES,16384,4,0.6440740109828766,0.6535917120054364,16392,0.015625,0.02425963434878512,0.0239063618968749,3.931115789690409e-05,3.989207226595681e-05,39311.15789690409,39892.07226595681,1.00048828125
3DES,16384,5,0.6496780439920258,0.6537387370190118,16392,0.015625,0.024050374096052696,0.023900985386377065,3.965320092724767e-05,3.990104596063304e-05,39653.200927247664,39901.04596063304,1.00048828125
3DES,16384,6,0.6553330419992562,0.6535945310024545,16392,0.015625,0.023842838676853613,0.023906258787133768,3.999835461421242e-05,3.989224432388028e-05,39998.35461421242,39892.24432388028,1.00048828125
3DES,16384,7,0.6575168870040216,0.6583462839771528,16392,0.015625,0.023763648217759666,0.02373371032886737,4.013164593530405e-05,4.018226830915239e-05,40131.64593530405,40182.268309152394,1.00048828125
3DES,16384,8,0.6609413750120439,0.659766212978866,16392,0.015625,0.02364052333645367,0.023682631351267015,4.034066009594994e-05,4.026893389763586e-05,40340.66009594994,40268.93389763586,1.00048828125
3DES,16384,9,0.6702156329993159,0.6486427589843515,16392,0.015625,0.023313392333264106,0.024088760390181048,4.09067158813059e-05,3.959001214504099e-05,40906.7158813059,39590.012145040986,1.00048828125
3DES,16384,10,0.6512911390163936,0.6517700129770674,16392,0.015625,0.023990806973970984,0.023973180245943238,3.975165643410605e-05,3.9780884581119835e-05,39751.65643410605,39780.88458111983,1.00048828125
AES,65536,1,0.8374186799919698,1.4797835749923252,65552,0.0625,0.07463411253329019,0.04223590601775949,1.2777994994994657e-05,2.257970542896004e-05,12777.994994994657,22579.70542896004,1.000244140625
AES,65536,2,0.7470827309880406,1.3807379429927096,65552,0.0625,0.08365874006663461,0.04526564966016148,1.1399577804382943e-05,2.1068389022715905e-05,11399.577804382943,21068.389022715906,1.000244140625
AES,65536,3,0.7798645730072167,1.3808925760095008,65552,0.0625,0.08014211975163237,0.0452605807908768,1.189978901683375e-05,2.107074853530122e-05,11899.78901683375,21070.74853530122,1.000244140625
AES,65536,4,0.7923671139869839,1.3943740040122066,65552,0.0625,0.07887757946631122,0.044822981366664134,1.209056265238928e-05,2.127645880145579e-05,12090.56265238928,21276.45880145579,1.000244140625
AES,65536,5,0.7696773479983676,1.4271466420032084,65552,0.0625,0.08120285748637175,0.04379367765058266,1.1744344299291498e-05,2.177652957158216e-05,11744.344299291499,21776.52957158216,1.000244140625
AES,65536,6,0.7923272040206939,1.386652701999992,65552,0.0625,0.07888155257429182,0.04507256929572576,1.208995367463217e-05,2.115864108276355e-05,12089.95367463217,21158.64108276355,1.000244140625
AES,65536,7,0.7752687619940843,1.3985404779959936,65552,0.0625,0.08061720407674172,0.0446894465933213,1.182966250601325e-05,2.134003414910879e-05,11829.66250601325,21340.03414910879,1.000244140625
AES,65536,8,0.7962146399950143,1.436783368990291,65552,0.0625,0.07849642151818681,0.04349994672051521,1.21492712401583e-05,2.1923574355930953e-05,12149.2712401583,21923.574355930952,1.000244140625
AES,65536,9,0.7813608989818022,1.4121867190115154,65552,0.0625,0.07998864555603469,0.044257603586406735,1.192262113924869e-05,2.154825926226067e-05,11922.621139248691,21548.25926226067,1.000244140625
AES,65536,10,0.7885337299958337,1.4294296629959715,65552,0.0625,0.07926103554293135,0.04372373235140856,1.2032069854672756e-05,2.181136570733599e-05,12032.069854672756,21811.36570733599,1.000244140625
DES,65536,1,0.8985678860044573,0.867290813010186,65544,0.0625,0.06955512318374794,0.07206348673644485,1.3711057830878559e-05,1.3233807571566558e-05,13711.057830878559,13233.807571566558,1.0001220703125
DES,65536,2,0.8773810729908291,0.8722068940114696,65544,0.0625,0.07123472562150117,0.07165731024269813,1.3387772720196978e-05,1.3308821014579308e-05,13387.772720196977,13308.82101457931,1.0001220703125
DES,65536,3,0.8795429379970301,0.8738578050106298,65544,0.0625,0.07105963483980704,0.0715219337077841,1.3420760162308198e-05,1.3334011917276456e-05,13420.7601623082,13334.011917276455,1.0001220703125
DES,65536,4,0.890627663990017,0.8939598599972669,65544,0.0625,0.0701752286920885,0.06991365361772628,1.3589899658050797e-05,1.3640744934040328e-05,13589.899658050797,13640.744934040327,1.0001220703125
DES,65536,5,0.8924168540106621,0.8727907190041151,65544,0.0625,0.07003453567591776,0.07160937741331014,1.361720053116855e-05,1.3317729476991502e-05,13617.20053116855,13317.729476991502,1.0001220703125
DES,65536,6,0.889829669991741,0.876704461988993,65544,0.0625,0.07023816142316326,0.07128970218562054,1.3577723235957961e-05,1.3377448455642593e-05,13577.723235957961,13377.448455642592,1.0001220703125
DES,65536,7,0.8621370920154732,0.8580276390130166,65544,0.0625,0.07249427101424176,0.07284147637935455,1.3155168030021258e-05,1.3092462753494516e-05,13155.168030021257,13092.462753494516,1.0001220703125
DES,65536,8,0.8709972799988464,0.8713930200028699,65544,0.0625,0.07175682569305243,0.07172423758890582,1.3290363769513647e-05,1.3296402282758635e-05,13290.363769513646,13296.402282758634,1.0001220703125
DES,65536,9,0.8790986629901454,0.8744844169996213,65544,0.0625,0.07109554664480319,0.07147068465146482,1.3413981063692404e-05,1.334357325744051e-05,13413.981063692405,13343.57325744051,1.0001220703125
DES,65536,10,0.8810758919862565,0.875761881005019,65544,0.0625,0.07093600059706878,0.07136643116765413,1.3444151183872322e-05,1.336306581123381e-05,13444.151183872322,13363.06581123381,1.0001220703125
3DES,65536,1,2.616408575006062,2.628770401002839,65544,0.0625,0.023887706452672512,0.0237753742115162,3.992322654733371e-05,4.011185304264586e-05,39923.22654733371,40111.85304264586,1.0001220703125
3DES,65536,2,2.5676358259806875,2.5601509849948343,65544,0.0625,0.02434145814900703,0.024412622679801092,3.917901345795727e-05,3.906480384818778e-05,39179.01345795727,39064.80384818778,1.0001220703125
3DES,65536,3,2.5741525090124924,2.5687891629931983,65544,0.0625,0.02427983570560725,0.02433052930166285,3.927845014972675e-05,3.919661198414914e-05,39278.45014972675,39196.611984149145,1.0001220703125
3DES,65536,4,2.607206977001624,2.569517090014415,65544,0.0625,0.023972013173989396,0.024323636625296536,3.978282130434607e-05,3.920771926901878e-05,39782.82130434607,39207.71926901878,1.0001220703125
3DES,65536,5,2.577596788003575,2.5741498280258384,65544,0.0625,0.02424739210216354,0.024279860993146763,3.933100567632408e-05,3.927840924111692e-05,39331.00567632408,39278.40924111692,1.0001220703125
3DES,65536,6,2.5899084089905955,2.6086386630195197,65544,0.0625,0.024132127523520834,0.023958856734744457,3.9518866103982475e-05,3.980466709929687e-05,39518.86610398247,39804.66709929687,1.0001220703125
3DES,65536,7,2.635771538014524,2.594712524994975,65544,0.0625,0.023712222056650648,0.024087446835799678,4.0218681915504824e-05,3.959217109672508e-05,40218.68191550482,39592.171096725084,1.0001220703125
3DES,65536,8,2.6435786380025093,2.669672546995571,65544,0.0625,0.02364219437301289,0.02341111087587765,4.0337808807411335e-05,4.0735970260552534e-05,40337.80880741133,40735.97026055253,1.0001220703125
3DES,65536,9,2.6247021880117245,2.592250627989415,65544,0.0625,0.023812225358544492,0.02411032302400322,4.004977703875312e-05,3.955460552962364e-05,40049.77703875312,39554.605529623645,1.0001220703125
3DES,65536,10,2.6062057359959,2.623128147009993,65544,0.0625,0.023981222639784076,0.023826514183548923,3.9767543579039e-05,4.002575907913197e-05,39767.543579039,40025.759079131974,1.0001220703125
